moisture,temp,ts
2879,33.375,1726225273330
2895,33.4375,1726225275442
2893,33.5,1726225277521
2895,33.4375,1726225279637
2905,33.4375,1726225281727
2883,33.4375,1726225283822
2898,33.4375,1726225285920
2891,33.4375,1726225288040
2896,33.375,1726225290123
2896,33.4375,1726225292203
2896,33.4375,1726225294299
2903,33.4375,1726225296380
2899,33.4375,1726225298463
2898,33.4375,1726225300578
2886,33.4375,1726225302673
2903,33.4375,1726225304877
2896,33.4375,1726225306959
2893,33.5,1726225309075
2893,33.4375,1726225311162
2886,32.875,1726226051599
2896,32.9375,1726226053703
2889,32.9375,1726226055815
2895,32.875,1726226057953
2896,32.9375,1726226060083
2894,32.9375,1726226062232
2887,32.9375,1726226064318
2898,32.9375,1726226066428
2896,32.9375,1726226068514
2895,32.9375,1726226070666
2894,32.9375,1726226072752
2887,32.9375,1726226074845
2883,32.875,1726226076930
2882,32.875,1726226079024
2885,32.9375,1726226081112
2881,32.9375,1726226083200
2891,32.875,1726226085370
2880,32.9375,1726226087478
2883,32.9375,1726226089565
2883,32.9375,1726226091655
2896,32.875,1726226093839
2892,32.9375,1726226095920
2885,32.9375,1726226098005
2896,32.875,1726226100118
2888,32.875,1726226102206
2905,32.9375,1726226105361
2881,32.875,1726226106441
2899,32.875,1726226108576
2893,32.875,1726226110772
2896,32.9375,1726226112855
2899,32.9375,1726226114959
2880,32.9375,1726226117055
2892,32.875,1726226119150
2895,32.9375,1726226121251
2889,32.9375,1726226123355
2882,32.9375,1726226125482
2895,32.875,1726226127581
2896,32.875,1726226129683
2896,32.9375,1726226131768
2901,32.875,1726226133848
2893,32.875,1726226135950
2893,32.875,1726226138039
2889,32.9375,1726226140151
2880,32.9375,1726226142245
2871,32.875,1726226144350
2894,32.875,1726226146446
2889,32.9375,1726226148548
2895,32.875,1726226150641
2894,32.875,1726226152747
2899,32.875,1726226154840
2893,32.9375,1726226156943
2891,32.9375,1726226159026
2877,32.875,1726226161446
2884,32.9375,1726226163550
2891,32.875,1726226165649
2897,32.875,1726226167743
2884,32.9375,1726226169843
2893,32.9375,1726226171928
2883,32.875,1726226174024
2895,32.875,1726226176109
2893,32.9375,1726226178187
2896,32.9375,1726226180289
2885,32.9375,1726226182372
2867,32.875,1726226184470
2893,32.875,1726226186585
2894,32.9375,1726226188691
2884,32.9375,1726226190781
2896,32.875,1726226193106
2890,32.875,1726226195352
2885,32.875,1726226198904
2880,32.9375,1726226199487
2882,32.9375,1726226201567
2887,32.9375,1726226203655
2893,32.875,1726226205763
2889,32.875,1726226207844
2895,32.875,1726226209932
2907,32.875,1726226212021
2884,32.875,1726226214144
2895,32.875,1726226216290
2893,32.9375,1726226218379
2889,32.9375,1726226220467
2886,32.875,1726226222579
2887,32.875,1726226224680
2901,32.9375,1726226226779
2867,32.875,1726226228865
2896,32.875,1726226231007
2887,32.875,1726226233097
2897,32.9375,1726226235178
2896,32.8125,1726226237340
2900,32.875,1726226239658
2893,32.875,1726226241843
2893,32.875,1726226243931
2891,32.9375,1726226246030
2896,32.875,1726226248190
2888,32.875,1726226250310
2890,32.875,1726226252391
2894,32.875,1726226254589
2883,32.9375,1726226256680
2895,32.9375,1726226258771
2892,32.875,1726226260889
2881,32.875,1726226262973
2899,32.8125,1726226265190
2893,32.875,1726226267444
2897,32.875,1726226269542
2899,32.9375,1726226271631
2895,32.875,1726226273749
2896,32.8125,1726226275832
2890,32.875,1726226277925
2896,32.9375,1726226280025
2886,32.875,1726226282132
2899,32.875,1726226284229
2899,32.875,1726226286329
2883,32.9375,1726226288411
2889,32.875,1726226290517
2881,32.8125,1726226292604
2879,32.875,1726226294684
2890,32.875,1726226296767
2898,32.9375,1726226298868
2881,32.875,1726226300946
2880,32.875,1726226303033
2891,32.875,1726226305120
2889,32.875,1726226307215
2899,32.9375,1726226309302
2896,32.9375,1726226311534
2885,32.9375,1726226313614
2886,32.875,1726226315707
2894,32.875,1726226317790
2886,32.875,1726226319871
2896,32.875,1726226321986
2882,32.9375,1726226324093
2885,32.875,1726226326178
2896,32.875,1726226328285
2897,32.875,1726226330391
2896,32.9375,1726226332470
2892,32.9375,1726226334560
2893,32.8125,1726226336643
2897,32.875,1726226338731
2884,32.9375,1726226340814
2895,32.9375,1726226343222
2887,32.875,1726226345335
2894,32.9375,1726226347425
2883,32.875,1726226349508
2887,32.875,1726226351591
2891,32.875,1726226353876
2895,32.9375,1726226355961
2901,32.875,1726226358168
2891,32.875,1726226360464
2881,32.9375,1726226362544
2873,32.9375,1726226364623
2885,32.9375,1726226366704
2887,32.875,1726226368795
2896,32.875,1726226370886
2891,32.875,1726226372964
2887,32.9375,1726226375045
2881,32.875,1726226377151
2885,32.9375,1726226379235
2895,32.875,1726226381315
2894,32.9375,1726226383398
2896,32.9375,1726226385480
2893,32.9375,1726226387559
2879,32.875,1726226389646
2896,32.8125,1726226391729
2894,32.875,1726226393824
2895,32.9375,1726226395946
2899,32.9375,1726226398035
2880,32.875,1726226400119
2893,32.875,1726226402201
2890,32.875,1726226404281
2906,32.9375,1726226406367
2900,32.9375,1726226408454
2885,32.9375,1726226410537
2881,32.875,1726226412621
2901,32.875,1726226414701
2896,32.875,1726226416781
2894,32.9375,1726226418911
2896,32.875,1726226421013
2895,32.875,1726226423117
2896,32.875,1726226425205
2891,32.9375,1726226427350
2899,32.875,1726226429444
2896,32.875,1726226431527
2893,32.9375,1726226433609
2889,32.9375,1726226435689
2879,32.9375,1726226437794
2895,32.9375,1726226439881
2894,32.875,1726226441968
2893,32.875,1726226444194
2897,32.875,1726226446435
2887,32.9375,1726226448521
2885,32.9375,1726226450607
2896,32.9375,1726226452687
2889,32.875,1726226454832
2892,32.875,1726226456910
2894,32.875,1726226459139
2890,32.875,1726226461223
2887,32.9375,1726226463322
2887,33,1726226465405
2893,32.875,1726226467502
2893,32.875,1726226469581
2895,32.875,1726226471661
2896,32.9375,1726226473739
2887,32.9375,1726226475821
2885,32.9375,1726226477907
2890,32.9375,1726226479993
2891,32.875,1726226482075
2885,32.875,1726226484239
2883,32.875,1726226486570
2900,32.875,1726226488652
2891,32.875,1726226490905
2897,32.9375,1726226492996
2889,32.9375,1726226495103
2891,32.875,1726226497198
2896,32.875,1726226499277
2883,32.875,1726226501360
2895,32.9375,1726226503459
2890,32.9375,1726226505541
2883,32.875,1726226507621
2889,32.875,1726226509721
2878,32.875,1726226511971
2896,32.875,1726226514059
2896,32.9375,1726226516145
2891,32.9375,1726226518325
2872,32.875,1726226520573
2895,32.875,1726226522833
2905,32.875,1726226525272
2896,32.875,1726226527375
2898,32.9375,1726226529467
2883,32.9375,1726226531575
2881,32.875,1726226533661
2891,32.875,1726226535741
2889,32.875,1726226537983
2894,32.875,1726226540237
2897,32.875,1726226542320
2892,32.875,1726226544532
2887,32.9375,1726226546839
2887,32.9375,1726226548922
2887,32.9375,1726226551006
2891,32.875,1726226553107
2896,32.875,1726226555187
2891,32.875,1726226557275
2899,32.9375,1726226559372
2901,32.875,1726226561561
2896,32.9375,1726226563651
2895,32.9375,1726226565744
2879,32.875,1726226567826
2889,32.875,1726226569933
2899,32.875,1726226572022
2896,32.875,1726226574232
2891,32.875,1726226576319
2890,32.875,1726226578541
2890,32.875,1726226580786
2896,32.8125,1726226583248
2896,32.875,1726226585508
2890,32.9375,1726226587600
2885,32.9375,1726226589690
2877,32.875,1726226591914
2891,32.9375,1726226593995
2893,32.875,1726226596187
2893,32.9375,1726226598291
2896,32.875,1726226600454
2894,32.9375,1726226602543
2901,33,1726226604644
2877,32.9375,1726226606735
2895,32.875,1726226608826
2893,32.875,1726226611137
2895,32.875,1726226613357
2896,32.875,1726226615445
2893,32.9375,1726226617569
2883,32.875,1726226619675
2896,32.875,1726226621772
2896,32.9375,1726226623854
2884,32.9375,1726226625941
2889,32.875,1726226628033
2883,32.875,1726226630119
2902,32.875,1726226632202
2885,32.9375,1726226634284
2884,32.9375,1726226636372
2878,32.875,1726226638480
2886,32.875,1726226640564
2886,32.875,1726226642648
2890,32.9375,1726226644729
2893,32.9375,1726226646828
2885,32.875,1726226648916
2886,32.9375,1726226651003
2896,32.875,1726226653109
2895,32.9375,1726226655214
2880,32.9375,1726226657307
2896,32.875,1726226659396
2891,32.875,1726226661482
2895,32.875,1726226663599
2889,32.9375,1726226665684
2881,32.875,1726226667769
2895,32.875,1726226669855
2887,32.875,1726226673095
2895,32.875,1726226674175
2890,32.9375,1726226676266
2891,32.9375,1726226678364
2884,32.9375,1726226680455
2896,32.875,1726226682554
2885,32.875,1726226684657
2875,32.9375,1726226686782
2893,32.875,1726226688921
2884,32.9375,1726226691024
2890,32.9375,1726226693110
